Model,Confidence,Precision,Recall,mAP50,mAP50-95
yolov8n.pt,0.25,0.1160984993879072,0.08086793578893041,0.025318668017226244,0.013068978416851151
yolov8n.pt,0.5,0.13631143609030688,0.040712430378176984,0.015568648804298521,0.008918201434544946
yolov8n.pt,0.75,0.11286650519267738,0.009203618415797176,0.0033970451893880643,0.0027916614620390368
yolov8s.pt,0.25,0.11724079252535953,0.10299874093838948,0.03513405807921256,0.018473910271590527
yolov8s.pt,0.5,0.14417213516862312,0.06003851299845654,0.02290164805421974,0.013349258466611103
yolov8s.pt,0.75,0.16461646511518482,0.01650299664949189,0.006608923392735078,0.004916415152368872
yolov8m.pt,0.25,0.12598185806439574,0.11864482660523674,0.04191406372795854,0.02161392089860155
yolov8m.pt,0.5,0.14715254060405752,0.07351706841370961,0.028261181746744458,0.015916969832184113
yolov8m.pt,0.75,0.1233152195878818,0.023220360401076175,0.007734391095765359,0.005433419119687188
yolo11n.pt,0.25,0.1165881613539383,0.08439480706646249,0.02652470251022208,0.013418566440000048
yolo11n.pt,0.5,0.14847345282380792,0.04155347209286607,0.01478468298199197,0.008522203694006383
yolo11n.pt,0.75,0.10519217996476941,0.008633276210473982,0.0031567740765370894,0.0025108941427791696
yolo11s.pt,0.25,0.12427016470102333,0.10581475652593293,0.03657861022838485,0.018543100798600293
yolo11s.pt,0.5,0.14959780179467244,0.061893727275198526,0.023641022090717816,0.01320464596522215
yolo11s.pt,0.75,0.14442329238683765,0.017346942401880863,0.006401824271979694,0.004556775296709167
